time,category,count
2022-02-01 20,I,3549
2022-02-01 20,COUNT=138,414
2022-02-01 20,COUNT=191,382
2022-02-01 20,COUNT=141,141
2022-02-01 20,will,1007
2022-02-01 20,COUNT=81,648
2022-02-01 20,COUNT=505,505
2022-02-01 20,COUNT=184,184
2022-02-01 20,COUNT=92,184
2022-02-01 20,COUNT=468,468
2022-02-01 20,COUNT=189,189
2022-02-01 20,COUNT=22,1826
2022-02-01 20,COUNT=235,235
2022-02-01 20,COUNT=152,304
2022-02-01 20,COUNT=172,860
2022-02-01 20,COUNT=58,348
2022-02-01 20,COUNT=30,1590
2022-02-01 20,this,2023
2022-02-01 20,COUNT=146,584
2022-02-01 20,COUNT=2,21156
2022-02-01 20,your,1358
2022-02-01 20,COUNT=82,492
2022-02-01 20,COUNT=300,300
2022-02-01 20,a,4605
2022-02-01 20,COUNT=20,2060
2022-02-01 20,COUNT=224,448
2022-02-01 20,COUNT=154,154
2022-02-01 20,COUNT=623,623
2022-02-01 20,COUNT=35,875
2022-02-01 20,COUNT=470,470
2022-02-01 20,COUNT=165,165
2022-02-01 20,COUNT=206,206
2022-02-01 20,COUNT=218,436
2022-02-01 20,COUNT=273,273
2022-02-01 20,in,3798
2022-02-01 20,COUNT=271,271
2022-02-01 20,COUNT=95,285
2022-02-01 20,have,1206
2022-02-01 20,COUNT=148,444
2022-02-01 20,&amp;,1885
2022-02-01 20,COUNT=560,560
2022-02-01 20,COUNT=153,306
2022-02-01 20,COUNT=652,652
2022-02-01 20,COUNT=24,1752
2022-02-01 20,COUNT=53,742
2022-02-01 20,COUNT=114,570
2022-02-01 20,COUNT=626,626
2022-02-01 20,COUNT=126,504
2022-02-01 20,COUNT=56,616
2022-02-01 20,COUNT=190,570
2022-02-01 20,COUNT=6,6138
2022-02-01 20,COUNT=43,1247
2022-02-01 20,like,1035
2022-02-01 20,COUNT=188,188
2022-02-01 20,COUNT=8,4432
2022-02-01 20,COUNT=216,432
2022-02-01 20,so,1047
2022-02-01 20,COUNT=346,346
2022-02-01 20,COUNT=106,106
2022-02-01 20,COUNT=71,284
2022-02-01 20,at,1355
2022-02-01 20,COUNT=29,1566
2022-02-01 20,COUNT=194,194
2022-02-01 20,COUNT=90,270
2022-02-01 20,COUNT=101,202
2022-02-01 20,COUNT=1,69388
2022-02-01 20,the,8347
2022-02-01 20,COUNT=63,693
2022-02-01 20,COUNT=452,452
2022-02-01 20,COUNT=34,1326
2022-02-01 20,COUNT=540,540
2022-02-01 20,COUNT=94,564
2022-02-01 20,COUNT=214,428
2022-02-01 20,it,1308
2022-02-01 20,COUNT=100,200
2022-02-01 20,COUNT=109,436
2022-02-01 20,COUNT=4,9260
2022-02-01 20,COUNT=135,135
2022-02-01 20,COUNT=398,398
2022-02-01 20,COUNT=54,702
2022-02-01 20,COUNT=265,265
2022-02-01 20,COUNT=104,416
2022-02-01 20,COUNT=285,570
2022-02-01 20,COUNT=182,182
2022-02-01 20,COUNT=591,591
2022-02-01 20,COUNT=237,237
2022-02-01 20,COUNT=204,408
2022-02-01 20,COUNT=9,4275
2022-02-01 20,COUNT=436,436
2022-02-01 20,COUNT=21,1890
2022-02-01 20,COUNT=579,579
2022-02-01 20,COUNT=132,264
2022-02-01 20,COUNT=183,549
2022-02-01 20,COUNT=181,181
2022-02-01 20,COUNT=298,298
2022-02-01 20,COUNT=231,462
2022-02-01 20,COUNT=121,121
2022-02-01 20,COUNT=857,857
2022-02-01 20,COUNT=719,719
2022-02-01 20,COUNT=130,260
2022-02-01 20,COUNT=523,523
2022-02-01 20,COUNT=245,245
2022-02-01 20,COUNT=176,528
2022-02-01 20,COUNT=239,478
2022-02-01 20,COUNT=102,714
2022-02-01 20,i,1019
2022-02-01 20,COUNT=682,682
2022-02-01 20,COUNT=137,137
2022-02-01 20,COUNT=177,354
2022-02-01 20,COUNT=25,1275
2022-02-01 20,COUNT=160,160
2022-02-01 20,COUNT=337,337
2022-02-01 20,COUNT=3,12576
2022-02-01 20,COUNT=280,280
2022-02-01 20,COUNT=80,960
2022-02-01 20,COUNT=628,628
2022-02-01 20,COUNT=223,446
2022-02-01 20,COUNT=51,714
2022-02-01 20,COUNT=12,3708
2022-02-01 20,COUNT=143,286
2022-02-01 20,COUNT=256,256
2022-02-01 20,COUNT=97,97
2022-02-01 20,COUNT=251,502
2022-02-01 20,COUNT=62,806
2022-02-01 20,|,1091
2022-02-01 20,COUNT=61,671
2022-02-01 20,COUNT=431,431
2022-02-01 20,COUNT=113,113
2022-02-01 20,COUNT=477,477
2022-02-01 20,COUNT=619,619
