time,category,count
2022-02-04 14:00:00,COUNT=12,3279
2022-02-04 13:00:00,some,639
2022-02-01 20:00:00,COUNT=418,118
2022-02-04 12:00:00,COUNT=243,243
2022-02-04 08:00:00,COUNT=420,134
2022-02-04 06:00:00,COUNT=82,661
2022-02-04 15:00:00,COUNT=262,268
2022-02-04 13:00:00,COUNT=157,331
2022-02-01 20:00:00,COUNT=138,339
2022-02-04 16:00:00,COUNT=467,109
2022-02-04 11:00:00,COUNT=187,244
2022-02-04 07:00:00,COUNT=196,182
2022-02-04 10:00:00,COUNT=288,120
2022-02-04 13:00:00,15,94
2022-02-04 12:00:00,did,475
2022-02-04 10:00:00,COUNT=593,101
2022-02-04 11:00:00,two,222
2022-02-04 13:00:00,COUNT=174,392
2022-02-04 09:00:00,COUNT=199,316
2022-02-04 16:00:00,COUNT=404,162
2022-02-04 10:00:00,COUNT=582,137
2022-02-01 20:00:00,th…,87
2022-02-01 21:00:00,guys,25
2022-02-04 17:00:00,ALL,72
2022-02-04 05:00:00,COUNT=114,37
2022-02-04 10:00:00,ur,163
2022-02-04 05:00:00,On,20
2022-02-01 20:00:00,COUNT=472,79
2022-02-04 10:00:00,must,159
2022-02-04 17:00:00,COUNT=470,134
2022-02-04 05:00:00,COUNT=462,23
2022-02-04 18:00:00,COUNT=258,96
2022-02-04 12:00:00,COUNT=237,197
2022-02-04 07:00:00,likes,111
2022-02-04 08:00:00,$200,86
2022-02-04 13:00:00,COUNT=617,100
2022-02-04 16:00:00,COUNT=601,122
2022-02-04 11:00:00,eat,118
2022-02-04 16:00:00,COUNT=278,52
2022-02-04 09:00:00,COUNT=385,118
2022-02-04 08:00:00,COUNT=385,134
2022-02-04 09:00:00,COUNT=413,127
2022-02-04 14:00:00,COUNT=455,134
2022-02-04 14:00:00,money,121
2022-02-04 13:00:00,COUNT=499,205
2022-02-04 17:00:00,worth,94
2022-02-04 16:00:00,COUNT=696,102
2022-02-04 07:00:00,COUNT=214,267
2022-02-04 17:00:00,COUNT=545,97
2022-02-04 18:00:00,SO,201
2022-02-04 17:00:00,COUNT=208,177
2022-02-04 18:00:00,COUNT=595,31
2022-02-04 11:00:00,COUNT=422,66
2022-02-04 17:00:00,person,300
2022-02-04 12:00:00,COUNT=885,66
2022-02-04 15:00:00,COUNT=609,205
2022-02-04 11:00:00,COUNT=310,188
2022-02-04 12:00:00,.,392
2022-02-01 20:00:00,already,132
2022-02-04 18:00:00,China,46
2022-02-04 06:00:00,COUNT=389,31
2022-02-04 11:00:00,COUNT=485,177
2022-02-04 15:00:00,COUNT=508,62
2022-02-01 21:00:00,COUNT=756,3
2022-02-04 13:00:00,COUNT=756,53
2022-02-04 15:00:00,COUNT=756,42
2022-02-04 11:00:00,COUNT=766,169
2022-02-04 16:00:00,COUNT=380,232
2022-02-04 07:00:00,COUNT=566,282
2022-02-04 05:00:00,COUNT=669,20
2022-02-01 21:00:00,next,25
2022-02-04 18:00:00,FREE,30
2022-02-04 08:00:00,COUNT=428,22
2022-02-04 09:00:00,230,150
2022-02-01 21:00:00,COUNT=854,13
2022-02-04 12:00:00,😭,360
2022-02-04 11:00:00,im,301
2022-02-04 07:00:00,nothing,173
2022-02-04 16:00:00,COUNT=851,42
2022-02-04 15:00:00,to…,121
2022-02-04 17:00:00,@,70
2022-02-04 08:00:00,COUNT=636,51
2022-02-04 06:00:00,it,3305
2022-02-04 16:00:00,probably,69
2022-02-04 08:00:00,-,1976
2022-02-04 11:00:00,music,168
2022-02-04 11:00:00,COUNT=857,77
2022-02-04 16:00:00,COUNT=662,34
2022-02-04 08:00:00,our,973
2022-02-04 16:00:00,together,90
2022-02-04 18:00:00,More,65
2022-02-04 12:00:00,COUNT=643,101
2022-02-04 06:00:00,you're,211
2022-02-04 13:00:00,MUBANK,4
2022-02-04 15:00:00,ends,205
2022-02-01 21:00:00,look,47
2022-02-04 16:00:00,COUNT=934,12
2022-02-01 20:00:00,against,166
2022-02-04 10:00:00,through,189
2022-02-04 17:00:00,🏆,112
2022-02-01 21:00:00,🎁,34
2022-02-04 16:00:00,&amp;,3057
2022-02-01 20:00:00,get,680
2022-02-04 08:00:00,get,1329
2022-02-04 14:00:00,✅RT,87
2022-02-01 20:00:00,I,4158
2022-02-04 10:00:00,Come,85
2022-02-04 05:00:00,COUNT=847,19
2022-02-04 17:00:00,vs,53
2022-02-01 21:00:00,went,15
2022-02-01 21:00:00,post,27
